film_title,film_id,rental_id
SUSPECTS QUILLS,869,130
CONNECTICUT TRAMP,177,131
ROCKETEER MOTHER,738,132
BORROWERS BEDAZZLED,89,133
JUMPING WRATH,491,134
AMERICAN CIRCUS,21,135
KISS GLORY,500,136
MENAGERIE RUSHMORE,569,137
TOURIST PELICAN,898,138
BINGO TALENTED,73,139
CHICKEN HELLFIGHTERS,142,140
CONGENIALITY QUEST,176,141
WATCH TRACY,963,142
CRAFT OUTFIELD,186,143
GONE TROUBLE,368,144
STRANGELOVE DESIRE,852,145
FIDELITY DEVIL,313,146
CHARIOTS CONSPIRACY,138,147
UNFORGIVEN ZOOLANDER,924,148
DOOM DANCING,242,149
DADDY PITTSBURGH,202,150
OUTBREAK DIVINE,646,151
MIDSUMMER GROUNDHOG,575,152
STORM HAPPINESS,849,153
FACTORY DRAGON,299,154
BEHAVIOR RUNAWAY,65,155
PULP BEVERLY,702,156
CRUSADE HONEY,197,157
LIGHTS DEER,523,158
SAGEBRUSH CLUELESS,757,159
HEAVEN FREEDOM,410,160
OUTBREAK DIVINE,646,161
EDGE KISSING,272,162
KISSING DOLLS,501,163
DOGMA FAMILY,239,164
MOTIONS DETAILS,600,165
STORY SIDE,850,166
CREEPERS KANE,190,167
MOON BUNCH,595,168
GRIT CLOCKWORK,382,169
SLEEPY JAPANESE,806,170
WITCHES PANIC,979,171
NOTTING SPEAKEASY,630,172
SHEPHERD MIDSUMMER,786,173
SUMMER SCARFACE,862,174
VISION TORQUE,947,175
CRANES RESERVOIR,187,176
SEATTLE EXPECATIONS,775,177
FLYING HOOK,326,178
MASSACRE USUAL,563,179
MOVIE SHAKESPEARE,603,180
LOLA AGENT,527,181
WASH HEAVENLY,961,182
NOVOCAINE FLIGHT,631,183
HONEY TIES,429,184
METAL ARMAGEDDON,571,185
HALF OUTFIELD,391,186
SWEET BROTHERHOOD,872,187
ROAD ROXANNE,734,188
DEEP CRUSADE,219,189
SUN CONFESSIONS,863,190
VOYAGE LEGALLY,951,191
HEDWIG ALTER,413,192
STRAIGHT HOURS,851,193
EXPENDABLE STALLION,295,194
CALENDAR GUNFIGHT,112,195
ATLANTIS CAUSE,43,196
TRUMAN CRAZY,915,197
GUNFIGHT MOON,388,198
INSIDER ARIZONA,462,199
STREETCAR INTENTIONS,856,200
COMFORTS RUSH,169,201
CHOCOLAT HARRY,147,202
ROLLERCOASTER BRINGING,740,203
HAROLD FRENCH,401,204
BETRAYED REAR,68,205
GRAFFITI LOVE,374,206
AMERICAN CIRCUS,21,207
SLACKER LIAISONS,803,208
CLOSER BANG,159,209
HALF OUTFIELD,391,210
SWEET BROTHERHOOD,872,211
COMA HEAD,167,212
FORREST SONS,329,213
FISH OPUS,319,214
CHRISTMAS MOONSHINE,149,215
FEATHERS METAL,306,216
WASH HEAVENLY,961,217
KICK SAVANNAH,496,218
PHILADELPHIA WIFE,676,219
ELIZABETH SHANE,279,220
SHANE DARKNESS,783,221
MOURNING PURPLE,602,222
PLUTO OLEANDER,686,223
VAMPIRE WHALE,933,224
CHICAGO NORTH,141,225
TRIP NEWTON,911,226
BACKLASH UNDEFEATED,48,227
CALIFORNIA BIRDS,113,228
DRAGONFLY STRANGERS,251,229
DOOM DANCING,242,230
TEEN APOLLO,878,231
OUTBREAK DIVINE,646,232
CLERKS ANGELS,156,233
EXCITEMENT EVE,292,234
SEABISCUIT PUNK,773,235
EMPIRE MALKOVICH,280,236
BANGER PINOCCHIO,54,237
CALENDAR GUNFIGHT,112,238
ANNIE IDENTITY,26,239
RULES HUMAN,749,240
WESTWARD SEABISCUIT,970,241
IMPACT ALADDIN,454,242
GRAIL FRANKENSTEIN,375,243
DIRTY ACE,232,244
PEAK FOREVER,668,245
NETWORK PEAK,621,246
TITANIC BOONDOCK,892,247
HIGHBALL POTTER,416,248
LORD ARIZONA,530,249
BLINDNESS GUN,81,250
VOICE PEACH,948,251
EAGLES PANKY,267,252
PACIFIC AMISTAD,650,253
HANOVER GALAXY,398,254
RECORDS ZORRO,719,255
PULP BEVERLY,702,256
MASSACRE USUAL,563,257
SEABISCUIT PUNK,773,258
AGENT TRUMAN,6,259
BREAKING HOME,96,260
FAMILY SWEET,301,261
UPRISING UPTOWN,927,262
DROP WATERFRONT,256,263
IDENTITY LOVER,449,264
JUNGLE CLOSER,492,265
RESURRECTION SILVERADO,727,266
EARLY HOME,268,267
GRAFFITI LOVE,374,268
SCALAWAG DUCK,767,269
AUTUMN CROW,46,270
LIES TREATMENT,521,271
DAY UNFAITHFUL,216,272
GANGS PRIDE,349,273
CHICKEN HELLFIGHTERS,142,274
GRAFFITI LOVE,374,275
EASY GLADIATOR,271,276
FERRIS MOTHER,308,277
ARMY FLINTSTONES,40,278
CHILL LUCK,143,279
HEDWIG ALTER,413,280
EARRING INSTINCT,269,281
WIZARD COLDBLOODED,980,282
SEA VIRGIN,772,283
BIRDS PERDITION,77,284
MADNESS ATTACKS,545,285
BIKINI BORROWERS,70,286
SHREK LICENSE,792,287
SEATTLE EXPECATIONS,775,288
LOUISIANA HARRY,534,289
MUSCLE BRIGHT,609,290
BUTTERFLY CHOCOLAT,109,291
UPRISING UPTOWN,927,292
HANKY OCTOBER,397,293
MOVIE SHAKESPEARE,603,294
TEEN APOLLO,878,295
STONE FIRE,848,296
GANGS PRIDE,349,297
DONNIE ALLEY,241,298
WANDA CHAMBER,956,299
BAREFOOT MANCHURIAN,56,300
SADDLE ANTITRUST,756,301
ORANGE GRAPES,641,302
DOUBTFIRE LABYRINTH,246,303
GORGEOUS BINGO,370,304
MOB DUFFEL,585,305
MUSIC BOONDOCK,610,306
DORADO NOTTING,244,307
ARTIST COLDBLOODED,42,308
HOLOCAUST HIGHBALL,424,309
CAUSE DATE,129,310
NETWORK PEAK,621,311
HOUSE DYNAMITE,437,312
TRADING PINOCCHIO,902,313
NONE SPIKING,625,314
NIGHTMARE CHILL,624,315
STAGECOACH ARMAGEDDON,838,316
AGENT TRUMAN,6,317
MASK PEACH,561,318
PATRIOT ROMAN,664,319
DOORS PRESIDENT,243,320
WYOMING STORM,994,322
LEBOWSKI SOLDIERS,514,323
ROCKETEER MOTHER,738,324
MAIDEN HOME,551,325
SUPER WYOMING,867,326
MODEL FISH,588,327
MALKOVICH PET,554,328
MISSION ZOOLANDER,583,329
FRENCH HOLIDAY,336,330
HEAD STRANGER,408,331
FREDDY STORM,334,332
SWEDEN SHINING,871,333
SUNRISE LEAGUE,865,334
FEUD FROGMEN,309,335
HALLOWEEN NUTS,393,336
COAST RAINBOW,164,337
MERMAID INSECTS,570,338
LOCK REAR,526,339
DARKO DORADO,210,340
TRAMP OTHERS,906,341
TALENTED HOMICIDE,875,342
RESURRECTION SILVERADO,727,343
LABYRINTH LEAGUE,505,344
FATAL HAUNTED,305,345
VIDEOTAPE ARSENIC,941,346
GHOSTBUSTERS ELF,355,347
HANGING DEEP,396,348
ORANGE GRAPES,641,349
MULAN MOON,604,350
ROCKY WAR,739,351
WAIT CIDER,953,352
SUSPECTS QUILLS,869,353
ICE CROSSING,447,354
ANTHEM LUKE,28,355
NORTHWEST POLISH,628,356
WEDDING APOLLO,966,357
HOBBIT ALIEN,418,358
DRIVING POLISH,255,359
SATURDAY LAMBS,764,360
ACADEMY DINOSAUR,1,361
KWAI HOMEWARD,504,362
VALLEY PACKER,932,363
CONTROL ANTHEM,182,364
ODDS BOOGIE,634,365
BLADE POLISH,79,366
RUSH GOODFELLAS,753,367
EGYPT TENENBAUMS,275,368
DARKNESS WAR,209,369
ROBBERS JOON,735,370
EFFECT GLADIATOR,273,371
TIMBERLAND SKY,891,372
GLASS DYING,360,373
WEDDING APOLLO,966,374
HAMLET WISDOM,394,375
PULP BEVERLY,702,376
PAST SUICIDES,661,377
JERK PAYCHECK,484,378
SALUTE APOLLO,759,379
GROUNDHOG UNCUT,385,380
MOVIE SHAKESPEARE,603,381
VOLCANO TEXAS,949,382
DATE SPEED,213,383
DADDY PITTSBURGH,202,384
FURY MURDER,344,385
ENGLISH BULWORTH,285,386
MODERN DORADO,589,387
BREAKING HOME,96,388
CINCINATTI WHISPERER,151,389
SOUTH WAIT,823,390
JADE BUNCH,474,391
BEACH HEARTBREAKERS,58,392
ANYTHING SAVANNAH,30,393
HEAVYWEIGHTS BEAST,412,394
COAST RAINBOW,164,395
DETECTIVE VISION,228,396
TROJAN TOMORROW,912,397
GOLDMINE TYCOON,367,398
CARIBBEAN LIBERTY,120,399
BASIC EASY,57,400
ISLAND EXORCIST,471,401
BROTHERHOOD BLANKET,101,402
SUPERFLY TRIP,868,403
ENGLISH BULWORTH,285,404
TIMBERLAND SKY,891,405
INSIDER ARIZONA,462,406
DOLLS RAGE,240,407
FIGHT JAWBREAKER,314,408
SILENCE KANE,797,409
SWEETHEARTS SUSPECTS,873,410
FIGHT JAWBREAKER,314,411
FELLOWSHIP AUTUMN,307,412
SCISSORHANDS SLUMS,770,413
DETECTIVE VISION,228,414
SLIPPER FIDELITY,809,415
LESSON CLEOPATRA,517,416
JINGLE SAGEBRUSH,487,417
PERSONAL LADYBUGS,673,418
MAJESTIC FLOATS,552,419
CHANCE RESURRECTION,135,420
PANKY SUBMARINE,654,421
DRIVER ANNIE,254,422
GUN BONNIE,387,423
NECKLACE OUTBREAK,618,424
FORWARD TEMPLE,331,425
DOUBLE WRATH,245,426
GOLDFINGER SENSIBILITY,366,427
ROBBERS JOON,735,428
ANGELS LIFE,25,429
HILLS NEIGHBORS,417,430
WONDERFUL DROP,984,431
DOZEN LION,248,432
VOYAGE LEGALLY,951,433
ROCKETEER MOTHER,738,434
RINGS HEARTBREAKERS,732,435
VIDEOTAPE ARSENIC,941,436
HALF OUTFIELD,391,437
UNTOUCHABLES SUNRISE,926,438
BLACKOUT PRIVATE,78,439
WIFE TURN,973,440
GALAXY SWEETHEARTS,346,441
FISH OPUS,319,442
HUNCHBACK IMPOSSIBLE,439,443
CLONES PINOCCHIO,158,444
GRIT CLOCKWORK,382,445
HOME PITY,426,446
STORY SIDE,850,447
MOCKINGBIRD HOLLYWOOD,586,448
LUCKY FLYING,540,449
EXPRESS LONELY,296,450
ATTRACTION NEWTON,45,451
PAPI NECKLACE,656,452
WEEKEND PERSONAL,967,453
SCALAWAG DUCK,767,454
ROBBERS JOON,735,455
GORGEOUS BINGO,370,456
LEGEND JEDI,516,457
ROBBERY BRIGHT,736,458
CELEBRITY HORN,130,459
UNCUT SUICIDES,921,460
IDOLS SNATCHERS,450,461
KNOCK WARLOCK,502,462
CONTACT ANONYMOUS,181,463
EVERYONE CRAFT,290,464
AFFAIR PREJUDICE,4,465
GUNFIGHT MOON,388,466
BIRD INDEPENDENCE,75,467
MISSION ZOOLANDER,583,468
WILLOW TRACY,975,469
GATHERING CALENDAR,352,470
NOTORIOUS REUNION,629,471
EXPENDABLE STALLION,295,472
CONFIDENTIAL INTERVIEW,174,473
FLATLINERS KILLER,322,474
MALKOVICH PET,554,475
LOVE SUICIDES,535,476
LOSE INCH,531,477
BRANNIGAN SUNRISE,93,478
ICE CROSSING,447,479
INDEPENDENCE HOTEL,457,480
ALIEN CENTER,15,481
TRAP GUYS,908,482
FORRESTER COMANCHEROS,330,483
PIZZA JUMANJI,684,484
LIFE TWISTED,522,485
HANGING DEEP,396,486
SPEED SUIT,826,487
BOOGIE AMELIE,86,488
HOLLOW JEOPARDY,422,489
SCORPION APOLLO,771,490
EXORCIST STING,293,491
HOTEL HAPPINESS,435,492
ARMY FLINTSTONES,40,493
HARRY IDAHO,403,494
DESTINY SATURDAY,226,495
GUNFIGHT MOON,388,496
MILLION ACE,578,497
BROTHERHOOD BLANKET,101,498
LIBERTY MAGNIFICENT,519,499
WOMEN DORADO,982,500
CENTER DINOSAUR,131,501
POLISH BROOKLYN,688,502
PARK CITIZEN,659,503
ILLUSION AMELIE,452,504
ALIEN CENTER,15,505
CHISUM BEHAVIOR,145,506
SHOOTIST SUPERFLY,790,507
TREATMENT JEKYLL,910,508
RUGRATS SHAKESPEARE,748,509
VIRGINIAN PLUTO,945,510
STAGECOACH ARMAGEDDON,838,511
ISHTAR ROCKETEER,470,512
BAKED CLEOPATRA,50,513
GOODFELLAS SALUTE,369,514
ROCKY WAR,739,515
VOLCANO TEXAS,949,516
BALLROOM MOCKINGBIRD,52,517
TIMBERLAND SKY,891,518
SECRETS PARADISE,778,519
STATE WASTELAND,842,520
LION UNCUT,524,521
PULP BEVERLY,702,522
HIGH ENCINO,415,523
HOMICIDE PEACH,428,524
HANDICAP BOONDOCK,395,525
FARGO GANDHI,304,526
BEAR GRACELAND,59,527
GLEAMING JAWBREAKER,361,528
MIDSUMMER GROUNDHOG,575,529
RIVER OUTLAW,733,530
DOWNHILL ENOUGH,247,531
MYSTIC TRUMAN,613,532
VELVET TERMINATOR,938,533
DEER VIRGINIAN,220,534
TRUMAN CRAZY,915,535
OZ LIAISONS,649,536
PINOCCHIO SIMON,680,537
JUGGLER HARDLY,489,538
RUNAWAY TENENBAUMS,751,539
RIDGEMONT SUBMARINE,730,540
GO PURPLE,363,541
WHALE BIKINI,971,542
CANDIDATE PERDITION,116,543
PACIFIC AMISTAD,650,544
DOOM DANCING,242,545
BUTTERFLY CHOCOLAT,109,546
IDAHO LOVE,448,547
SLUMS DUCK,810,548
HANDICAP BOONDOCK,395,549
SHRUNK DIVINE,793,550
PLUTO OLEANDER,686,551
AFRICAN EGG,5,552
EYES DRIVING,298,553
HOLY TADPOLE,425,554
WASH HEAVENLY,961,555
HAMLET WISDOM,394,556
ARABIA DOGMA,34,557
TRAINSPOTTING STRANGERS,905,558
EDGE KISSING,272,559
CHEAPER CLYDE,140,560
DANCING FEVER,206,561
ROOTS REMEMBER,744,562
ALAMO VIDEOTAPE,11,563
PACKER MADIGAN,651,564
FOOL MOCKINGBIRD,327,565
VIRGIN DAISY,944,566
REUNION WITCHES,728,567
JERICHO MULAN,483,568
WORKING MICROCOSMOS,989,569
DRACULA CRYSTAL,249,570
UNFORGIVEN ZOOLANDER,924,571
HELLFIGHTERS SIERRA,414,572
TALENTED HOMICIDE,875,573
STORM HAPPINESS,849,574
WIFE TURN,973,575
HAWK CHILL,407,576
BLUES INSTINCT,83,577
OTHERS SOUP,645,578
SATISFACTION CONFIDENTIAL,763,579
SCISSORHANDS SLUMS,770,580
FANTASY TROOPERS,303,581
ZORRO ARK,1000,582
MODEL FISH,588,583
HANOVER GALAXY,398,584
SEATTLE EXPECATIONS,775,585
CURTAIN VIDEOTAPE,200,586
FEUD FROGMEN,309,587
AMADEUS HOLY,19,588
UNBREAKABLE KARATE,920,589
BUGSY SONG,104,590
BLUES INSTINCT,83,591
CHASING FIGHT,139,592
HALLOWEEN NUTS,393,593
MURDER ANTITRUST,608,594
CELEBRITY HORN,130,595
CONQUERER NUTS,179,596
WIND PHANTOM,976,597
CELEBRITY HORN,130,598
TOURIST PELICAN,898,599
FURY MURDER,344,600
QUILLS BULL,708,601
ENTRAPMENT SATISFACTION,287,602
RANGE MOONWALKER,715,603
GANDHI KWAI,348,604
UNBREAKABLE KARATE,920,605
SCARFACE BANG,768,606
MASK PEACH,561,607
UNITED PILOT,925,608
OUTBREAK DIVINE,646,609
SIEGE MADRE,795,610
EFFECT GLADIATOR,273,611
ISLAND EXORCIST,471,612
BEAST HUNCHBACK,60,613
BEDAZZLED MARRIED,63,614
ROSES TREASURE,745,615
DEER VIRGINIAN,220,616
TOWN ARK,900,617
WHISPERER GIANT,972,618
MADISON TRAP,544,619
LOST BIRD,533,620
DRIFTER COMMANDMENTS,253,621
LEBOWSKI SOLDIERS,514,622
EASY GLADIATOR,271,623
SINNERS ATLANTIS,800,624
ODDS BOOGIE,634,625
BROOKLYN DESERT,100,626
BRANNIGAN SUNRISE,93,627
MAJESTIC FLOATS,552,628
FREDDY STORM,334,629
ELEPHANT TROJAN,277,630
LUCK OPUS,539,631
ENEMY ODDS,284,632
ALAMO VIDEOTAPE,11,633
MILE MULAN,577,634
GLASS DYING,360,635
TURN STAR,916,636
GAMES BOWFINGER,347,637
MODERN DORADO,589,638
TROUBLE DATE,914,639
CABIN FLASH,110,640
SECRET GROUNDHOG,776,641
ANTHEM LUKE,28,642
PITTSBURGH HUNCHBACK,682,643
VELVET TERMINATOR,938,644
POCUS PULP,687,645
HILLS NEIGHBORS,417,646
RUSH GOODFELLAS,753,647
SASSY PACKER,762,648
GUN BONNIE,387,649
WARDROBE PHANTOM,958,650
CLUELESS BUCKET,162,651
EAGLES PANKY,267,652
ANGELS LIFE,25,653
KNOCK WARLOCK,502,654
BINGO TALENTED,73,655
NIGHTMARE CHILL,624,656
CRAFT OUTFIELD,186,657
QUILLS BULL,708,658
FANTASY TROOPERS,303,659
FEUD FROGMEN,309,660
JET NEIGHBORS,486,661
PACIFIC AMISTAD,650,662
SWARM GOLD,870,663
ALTER VICTORY,18,664
DETAILS PACKER,227,665
PHILADELPHIA WIFE,676,666
CONFIDENTIAL INTERVIEW,174,667
SEA VIRGIN,772,668
SLEEPING SUSPECTS,804,669
BALLOON HOMEWARD,51,670
DIARY PANIC,230,671
CIRCUS YOUTH,152,672
GROOVE FICTION,383,673
DRIVER ANNIE,254,674
ENCOUNTERS CURTAIN,282,675
LADY STAGE,506,676
YENTL IDAHO,995,677
SOMETHING DUCK,818,678
CYCLONE FAMILY,201,679
TRACY CIDER,901,680
ROBBERS JOON,735,681
PREJUDICE OLEANDER,694,682
HURRICANE AFFAIR,443,683
RAGING AIRPLANE,711,684
FARGO GANDHI,304,685
LOSER HUSTLER,532,686
GREASE YOUTH,377,687
TOURIST PELICAN,898,688
CLUELESS BUCKET,162,689
MINE TITANS,580,690
TELEGRAPH VOYAGE,879,691
CONFIDENTIAL INTERVIEW,174,692
CHARIOTS CONSPIRACY,138,693
CAUSE DATE,129,694
VACATION BOONDOCK,930,695
IDOLS SNATCHERS,450,696
SUIT WALLS,861,697
FEUD FROGMEN,309,698
ANNIE IDENTITY,26,699
CADDYSHACK JEDI,111,700
BLOOD ARGONAUTS,82,701
MARS ROMAN,560,702
DRACULA CRYSTAL,249,703
MIGHTY LUCK,576,704
NATIONAL STORY,616,705
KANE EXORCIST,493,706
CONQUERER NUTS,179,707
POLISH BROOKLYN,688,708
LOVER TRUMAN,537,709
ATLANTIS CAUSE,43,710
ZORRO ARK,1000,711
TROJAN TOMORROW,912,712
SINNERS ATLANTIS,800,713
HOUSE DYNAMITE,437,714
HUNTING MUSKETEERS,442,715
ALONE TRIP,17,716
FANTASY TROOPERS,303,717
GREATEST NORTH,378,718
BEAR GRACELAND,59,719
SLEEPY JAPANESE,806,720
DOWNHILL ENOUGH,247,721
WORST BANGER,991,722
ROXANNE REBEL,747,723
SPEAKEASY DATE,825,724
TIMBERLAND SKY,891,725
DANCING FEVER,206,726
GIANT TROOPERS,356,727
BARBARELLA STREETCAR,55,728
GONE TROUBLE,368,729
SANTA PARIS,761,730
TOOTSIE PILOT,896,731
MALLRATS UNITED,555,732
OUTFIELD MASSACRE,647,733
PICKUP DRIVING,678,734
RULES HUMAN,749,735
SLEUTH ORIENT,807,736
COMA HEAD,167,737
KARATE MOON,494,738
DURHAM PANKY,263,739
CENTER DINOSAUR,131,740
PRIX UNDEFEATED,700,741
BEAUTY GREASE,61,742
MALLRATS UNITED,555,743
SNATCH SLIPPER,814,744
CAT CONEHEADS,127,745
VACATION BOONDOCK,930,746
HORROR REIGN,434,747
NASH CHOCOLAT,615,748
DRIFTER COMMANDMENTS,253,749
CLOSER BANG,159,750
MOON BUNCH,595,751
GRAIL FRANKENSTEIN,375,752
DETECTIVE VISION,228,753
CLUB GRAFFITI,160,754
PILOT HOOSIERS,679,755
POTLUCK MIXED,692,756
DOCTOR GRAIL,238,757
DYING MAKER,265,758
LEGALLY SECRETARY,515,759
RANGE MOONWALKER,715,760
LANGUAGE COWBOY,509,761
SLEEPLESS MONSOON,805,762
HUNCHBACK IMPOSSIBLE,439,763
DOGMA FAMILY,239,764
CAMELOT VACATION,114,765
INTERVIEW LIAISONS,465,766
CIDER DESIRE,150,767
OLEANDER CLUE,636,768
FREAKY POCUS,333,769
MADRE GABLES,546,770
BLACKOUT PRIVATE,78,771
RIDGEMONT SUBMARINE,730,772
BARBARELLA STREETCAR,55,773
DYING MAKER,265,774
DYNAMITE TARZAN,266,775
VIRGINIAN PLUTO,945,776
BROOKLYN DESERT,100,777
HANDICAP BOONDOCK,395,778
CANDLES GRAPES,117,779
HILLS NEIGHBORS,417,780
ALTER VICTORY,18,781
JOON NORTHWEST,488,782
PEAK FOREVER,668,783
OTHERS SOUP,645,784
AIRPORT POLLOCK,8,785
MILLION ACE,578,786
STREAK RIDGEMONT,855,787
COLOR PHILADELPHIA,166,788
CLASH FREDDY,154,789
NOON PAPI,626,790
FROST HEAD,341,791
NEWTON LABYRINTH,623,792
BOILED DARES,84,793
HORROR REIGN,434,794
CHAINSAW UPTOWN,132,795
MONSTER SPARTACUS,592,796
FIREBALL PHILADELPHIA,317,797
DOUBLE WRATH,245,798
GRAFFITI LOVE,374,799
BRIDE INTRIGUE,97,800
GILMORE BOILED,358,801
CONEHEADS SMOOCHY,172,802
GARDEN ISLAND,350,803
STRANGER STRANGERS,853,804
POLISH BROOKLYN,688,805
LIES TREATMENT,521,806
JADE BUNCH,474,807
HOBBIT ALIEN,418,808
INDIAN LOVE,458,809
MALTESE HOPE,556,810
WEDDING APOLLO,966,811
DORADO NOTTING,244,812
WYOMING STORM,994,813
GABLES METROPOLIS,345,814
SOUP WISDOM,822,815
CHARADE DUFFEL,137,816
ARTIST COLDBLOODED,42,817
TITANS JERK,893,818
CHANCE RESURRECTION,135,819
MEET CHOCOLATE,567,820
ROMAN PUNK,741,821
MILLION ACE,578,822
RANGE MOONWALKER,715,823
SCORPION APOLLO,771,824
CLEOPATRA DEVIL,155,825
JUGGLER HARDLY,489,826
ALASKA PHANTOM,12,827
LUCKY FLYING,540,828
GOLDMINE TYCOON,367,829
SALUTE APOLLO,759,830
STRANGERS GRAFFITI,854,831
FANTASY TROOPERS,303,832
OPEN AFRICAN,637,833
SHOW LORD,791,834
BERETS AGENT,67,835
POND SEATTLE,690,836
DECEIVER BETRAYED,218,837
NOON PAPI,626,838
HEAVENLY GUN,411,839
TEMPLE ATTRACTION,881,840
VIDEOTAPE ARSENIC,941,841
LABYRINTH LEAGUE,505,842
JEDI BENEATH,479,843
CANDLES GRAPES,117,844
HOURS RAGE,436,845
DARES PLUTO,208,846
WARDROBE PHANTOM,958,847
FALCON VOLUME,300,848
LONELY ELEPHANT,529,849
LIES TREATMENT,521,850
MUSIC BOONDOCK,610,851
GHOST GROUNDHOG,354,852
SLEUTH ORIENT,807,853
DALMATIONS SWEDEN,204,854
MALLRATS UNITED,555,855
SUNRISE LEAGUE,865,856
MASSACRE USUAL,563,857
ELIZABETH SHANE,279,858
PATTON INTERVIEW,665,859
CASUALTIES ENCINO,126,860
SMOKING BARBARELLA,812,861
DWARFS ALTER,264,862
SWEDEN SHINING,871,863
MUSCLE BRIGHT,609,864
PRINCESS GIANT,698,865
NORTHWEST POLISH,628,866
ROOTS REMEMBER,744,867
SHIP WONDERLAND,788,868
ROSES TREASURE,745,869
OPERATION OPERATION,638,870
ZOOLANDER FICTION,999,871
STRANGELOVE DESIRE,852,872
ZHIVAGO CORE,998,873
BLADE POLISH,79,874
FIDELITY DEVIL,313,875
FLATLINERS KILLER,322,876
CRUELTY UNFORGIVEN,196,877
UPTOWN YOUNG,928,878
TALENTED HOMICIDE,875,879
HANDICAP BOONDOCK,395,880
CENTER DINOSAUR,131,881
STAR OPERATION,841,882
JUMPING WRATH,491,883
TIES HUNGER,889,884
CHEAPER CLYDE,140,885
VOLCANO TEXAS,949,886
MOSQUITO ARMAGEDDON,598,887
