hotel_id	hotel_name	hotel_address	city	country	hotel_score
22	Hotel Scribe Paris Opera by Sofitel	'Le Lumière, 1, Rue Scribe, Quartier de la Chaussée-d''Antin, 9th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75009, France'	Paris	France	8.6
23	Novotel London West	Novotel, Shortlands, Brook Green, London Borough of Hammersmith and Fulham, London, Greater London, England, W6 8DR, United Kingdom	London	United Kingdom	8.3
24	Haymarket Hotel	'Haymarket Hotel, Suffolk Place, St. James''s, Covent Garden, City of Westminster, London, Greater London, England, SW1Y 4HX, United Kingdom'	London	United Kingdom	9.6
25	Intercontinental London The O2	Arora Ballroom, Blackwall Tunnel, Northumberland Wharf Waste Transfer Station, Blackwall, London Borough of Tower Hamlets, London, Greater London, England, E14 9SA, United Kingdom	London	United Kingdom	9.4
26	H tel Juliana Paris	Hôtel Juliana Paris, 10-12, Rue Cognacq-Jay, Quartier du Gros-Caillou, 7th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75007, France	Paris	France	8.6
27	Hotel L Antoine	'L''Antoine, Rue de Charonne, Quartier des Quinze-Vingts, 11th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75012, France'	Paris	France	8.9
28	Belfast	Hôtel Belfast, 10, Avenue Carnot, Quartier des Ternes, 17th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75017, France	Paris	France	7.7
29	Shangri La Hotel Paris	'Shangri-La Hotel, 10, Avenue d''Iéna, Quartier de Chaillot, 16th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75116, France'	Paris	France	9.3
30	Mercure Paris Tour Eiffel Pont Mirabeau	Mercure, Avenue Émile Zola, Quartier de Javel, 15th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75015, France	Paris	France	8
31	Knightsbridge Hotel	Beaufort Gardens, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW3 1RE, United Kingdom	London	United Kingdom	9.1
32	The London EDITION	'The London EDITION, 10, Berners Street, St. James''s, Fitzrovia, City of Westminster, London, Greater London, England, W1T 3NP, United Kingdom'	London	United Kingdom	9.1
33	The Cranley Hotel	22, Bina Gardens, South Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW5, United Kingdom	London	United Kingdom	7.8
34	Hotel Le 10 BIS	10 Bis, Rue du Débarcadère, Quartier des Ternes, 17th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75017, France	Paris	France	9.2
35	The Nadler Soho	The Nadler, 10, Carlisle Street, Soho, City of Westminster, London, Greater London, England, W1D 3BT, United Kingdom	London	United Kingdom	9
36	Grange St Paul s Hotel	'Leonardo Royal Hotel London St Paul''s, 10, Godliman Street, Temple, City of London, Greater London, England, EC4V 5AJ, United Kingdom'	London	United Kingdom	8.5
37	The Ampersand Hotel	Cromwell Mews, Brompton, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW7, United Kingdom	London	United Kingdom	9.1
38	Covent Garden Hotel	Covent Garden Hotel, 10, Monmouth Street, Holborn, St Giles, London Borough of Camden, London, Greater London, England, WC2H 9HB, United Kingdom	London	United Kingdom	9.4
39	The Nadler Victoria	'The Nadler Victoria Hotel, Palace Place, St. James''s, Victoria, City of Westminster, London, Greater London, England, SW1E 5ER, United Kingdom'	London	United Kingdom	9.3
40	Novotel London Tower Bridge	Novotel London Tower Bridge, Savage Gardens, City of London, Greater London, England, EC3, United Kingdom	London	United Kingdom	8.6
41	Crowne Plaza Paris R publique	Crowne Plaza, Place de la République, Quartier de la Porte-Saint-Martin, 10th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75010, France	Paris	France	8
42	Le Metropolitan a Tribute Portfolio Hotel	1, Rue des Belles Feuilles, Quartier de la Porte-Dauphine, 16th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75116, France	Paris	France	8.3
43	Atala Champs Elys es	Atala, 10, Rue de Chateaubriand, Quartier du Faubourg-du-Roule, 8th Arrondissement of Paris, Paris, Ile-de-France, Metropolitan France, 75008, France	Paris	France	8.2
44	H tel de Jos phine BONAPARTE	8, Rue de Sévigné, Quartier des Archives, 4th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75003, France	Paris	France	9
45	Maison Souquet	10, Rue de Bruxelles, Quartier Saint-Georges, 9th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75009, France	Paris	France	9.3
46	Hotel Tour d Auvergne Opera	'Hôtel La Tour d''Auvergne, rue Louise-Émilie de La Tour d''Auvergne, Quartier de Rochechouart, 9th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75009, France'	Paris	France	8.3
47	Le Senat	'10, Rue de Vaugirard, Quartier de l''Odéon, 6th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75006, France'	Paris	France	8.3
48	Windsor Opera	10b, Rue Gabriel Laumain, Quartier de la Porte-Saint-Denis, 10th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75010, France	Paris	France	8.3
49	Holiday Inn Paris Montparnasse Pasteur	Holiday Inn, Rue Gager-Gabillot, Quartier Saint-Lambert, 15th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75015, France	Paris	France	7.1
50	H tel Keppler	10, Rue Kepler, Quartier de Chaillot, 16th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75116, France	Paris	France	9.1
51	Les Plumes Hotel	10, Rue Lamartine, Quartier du Faubourg-Montmartre, 9th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75009, France	Paris	France	8.8
52	Hotel des Tuileries Relais du Silence	10, Rue Saint-Hyacinthe, Quartier Vendôme, 1st Arrondissement, Paris, Ile-de-France, Metropolitan France, 75001, France	Paris	France	8.1
53	Bradford Elys es Astotel	10, Rue Saint-Philippe du Roule, Quartier du Faubourg-du-Roule, 8th Arrondissement of Paris, Paris, Ile-de-France, Metropolitan France, 75008, France	Paris	France	9.1
54	W London Leicester Square	Burger & Lobster Leicester Square, 10, Wardour Street, Chinatown, City of Westminster, London, Greater London, England, W1D 6QF, United Kingdom	London	United Kingdom	8.4
55	The Victoria	The Victoria, 10, West Temple Sheen, Sheen Mount, East Sheen, London Borough of Richmond upon Thames, London, Greater London, England, SW14 7RT, United Kingdom	London	United Kingdom	8.3
56	Pullman London St Pancras	Pullman London St Pancras, 100-110, Euston Road, Holborn, Bloomsbury, London Borough of Camden, London, Greater London, England, NW1 2AJ, United Kingdom	London	United Kingdom	8.9
57	Crowne Plaza London Kensington	Crowne Plaza Kensington, 100, Cromwell Road, South Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW7 4ER, United Kingdom	London	United Kingdom	8.7
58	Doubletree by Hilton London Kensington	'100 Queen''s Gate Hotel London, Curio Collection by Hilton, 100, Queen''s Gate, Brompton, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW7 5AG, United Kingdom'	London	United Kingdom	8
59	Ace Hotel London Shoreditch	Ace Hotel London Shoreditch, 100, Shoreditch High Street, Shoreditch, London Borough of Hackney, London, Greater London, England, E1 6JQ, United Kingdom	London	United Kingdom	8.6
60	Staybridge Suites London Vauxhall	Vauxhall Walk, Vauxhall, London Borough of Lambeth, London, Greater London, England, SE11, United Kingdom	London	United Kingdom	9.2
61	The Grosvenor	'The Grosvenor, 101, Buckingham Palace Road, St. James''s, Victoria, City of Westminster, London, Greater London, England, SW1W 0RP, United Kingdom'	London	United Kingdom	8.4
62	The Park Tower Knightsbridge a Luxury Collection Hotel	Al Maskoof, 9, Knightsbridge Green, Knightsbridge, City of Westminster, London, Greater London, England, SW1X 7PD, United Kingdom	London	United Kingdom	8.2
63	Amp re	Hôtel Ampère Paris, Avenue de Villiers, Quartier de la Plaine-de-Monceau, 17th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75017, France	Paris	France	8.8
64	Melia Paris Champs Elys es	Hôtel Alexander, Avenue Victor Hugo, Quartier de la Porte-Dauphine, 16th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75116, France	Paris	France	8.3
65	Le Parisis Paris Tour Eiffel	100, Boulevard de Grenelle, Quartier de Grenelle, 15th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75015, France	Paris	France	8.6
66	Thistle Kensington Gardens	Thistle Kensington Gardens, 104, Bayswater Road, Bayswater, City of Westminster, London, Greater London, England, W2 3HL, United Kingdom	London	United Kingdom	8.2
67	Park Plaza Sherlock Holmes London	Park Plaza Sherlock Holmes, 83, Chiltern Street, Marylebone, City of Westminster, London, Greater London, England, W1U 6NU, United Kingdom	London	United Kingdom	8.2
68	Hilton Paris Opera	'Hilton Paris Opera, 108, Rue Saint-Lazare, Quartier de l''Europe, 8th Arrondissement of Paris, Paris, Ile-de-France, Metropolitan France, 75008, France'	Paris	France	8.4
69	The Kensington Hotel	Barclays Bank PLC, Old Brompton Road, Brompton, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW7, United Kingdom	London	United Kingdom	8.7
70	Holiday Inn London Stratford City	Rush, The Street, Stratford Marsh, London Borough of Newham, London, Greater London, England, United Kingdom	London	United Kingdom	8.7
71	Staybridge Suites London Stratford	Car Park B (Green), Cherry Park Lane, Stratford Marsh, London Borough of Newham, London, Greater London, England, United Kingdom	London	United Kingdom	9.2
72	Shepherd s Bush Boutique Hotel	Maurice Adams, Uxbridge Road, Brook Green, London Borough of Hammersmith and Fulham, London, Greater London, England, W12 7JP, United Kingdom	London	United Kingdom	8
73	My Bloomsbury	'Gail''s, Bayley Street, Holborn, Bloomsbury, London Borough of Camden, London, Greater London, England, WC1B 3HA, United Kingdom'	London	United Kingdom	8.1
74	Holiday Inn Paris Gare de Lyon Bastille	Holiday Inn, Rue de Lyon, Quartier des Quinze-Vingts, 12th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75012, France	Paris	France	8.3
75	H tel Chaplain Paris Rive Gauche	MK2 Parnasse, Rue Jules Chaplain, Quartier Notre-Dame-des-Champs, 6th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75006, France	Paris	France	8.7
76	H tel Regina Op ra Grands Boulevards	Regina, Rue de Mazagran, Quartier de la Porte-Saint-Denis, 2nd Arrondissement, Paris, Ile-de-France, Metropolitan France, 75010, France	Paris	France	7.9
77	11 Cadogan Gardens	Holy Trinity Church of England Primary School, Cadogan Gardens, Chelsea, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW3 2RW, United Kingdom	London	United Kingdom	8.7
78	The Wellesley Knightsbridge a Luxury Collection Hotel London	'The Wellesley, 11, Knightsbridge, St. James''s, Belgravia, City of Westminster, London, Greater London, England, SW1X 7NL, United Kingdom'	London	United Kingdom	9
79	Hotel Astor Saint Honor 	'11, Rue d''Astorg, Quartier de la Madeleine, 8th Arrondissement of Paris, Paris, Ile-de-France, Metropolitan France, 75008, France'	Paris	France	7.5
80	Op ra Marigny	'Hôtel Opéra Marigny, Rue de l''Arcade, Quartier de la Madeleine, 8th Arrondissement of Paris, Paris, Ile-de-France, Metropolitan France, 75008, France'	Paris	France	8.1
81	H tel Diva Opera	11, Rue de Trévise, Quartier du Faubourg-Montmartre, 9th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75009, France	Paris	France	8.3
82	Le Marcel	'Le Marcel, Rue d''Alsace, Quartier Saint-Vincent-de-Paul, 10th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75010, France'	Paris	France	8.5
83	H tel Duo	Hôtel duo, 11, Rue du Temple, Beaubourg, Quartier Saint-Merri, 4th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75004, France	Paris	France	8.6
84	H tel Le Marianne	11, Rue Paul Baudry, Quartier du Faubourg-du-Roule, 8th Arrondissement of Paris, Paris, Ile-de-France, Metropolitan France, 75008, France	Paris	France	8.7
85	The Rembrandt	The Rembrandt, 11, Thurloe Place, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW7 2RY, United Kingdom	London	United Kingdom	8.5
86	Hotel Eden	110, Rue Blomet, Quartier Necker, 15th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75015, France	Paris	France	8.5
87	H tel de la Bourdonnais	Hôtel La Bourdonnais, Avenue de la Bourdonnais, Quartier du Gros-Caillou, 7th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75007, France	Paris	France	8.8
88	Ashburn Hotel	Park International Hotel, 117-129, Cromwell Road, South Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW7 4DS, United Kingdom	London	United Kingdom	8.6
89	Marlin Waterloo	Westminster Bridge House, Westminster Bridge Road, Lambeth, London Borough of Lambeth, London, Greater London, England, SE1 7RW, United Kingdom	London	United Kingdom	8.6
90	Best Western Premier Marais Grands Boulevards	112, Boulevard de Sébastopol, Quartier de Bonne-Nouvelle, 3rd Arrondissement, Paris, Ile-de-France, Metropolitan France, 75002, France	Paris	France	8.3
91	Novotel London Waterloo	Lambeth Palace, Lambeth Road, Lambeth, London Borough of Lambeth, London, Greater London, England, SE1, United Kingdom	London	United Kingdom	8.2
92	The Athenaeum	'The Athenaeum Hotel, 116, Piccadilly, St. James''s, Mayfair, City of Westminster, London, Greater London, England, W1J 7BJ, United Kingdom'	London	United Kingdom	8.1
93	Park International Hotel	Park International Hotel, 117-129, Cromwell Road, South Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW7 4DS, United Kingdom	London	United Kingdom	7.8
94	Lansbury Heritage Hotel	Lansbury Heritage Hotel, 117, Poplar High Street, Poplar, London Borough of Tower Hamlets, London, Greater London, England, E14 0AE, United Kingdom	London	United Kingdom	9.4
95	Le Dokhan s a Tribute Portfolio Hotel	117, Rue Lauriston, Quartier de Chaillot, 16th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75116, France	Paris	France	7.9
96	Le Relais Madeleine	'11, Rue Godot de Mauroy, Quartier de la Chaussée-d''Antin, 9th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75001, France'	Paris	France	8.7
97	Terrass H tel Montmartre by MH	14, Rue Joseph de Maistre, Quartier des Grandes-Carrières, 18th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75018, France	Paris	France	9
98	Millennium Hotel Paris Opera	'Millennium Hotel Paris Opera, 12, Boulevard Haussmann, Quartier de la Chaussée-d''Antin, 9th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75009, France'	Paris	France	7.8
99	Waldorf Madeleine	Mettez, Rue Chauveau-Lagarde, Quartier de la Madeleine, 8th Arrondissement of Paris, Paris, Ile-de-France, Metropolitan France, 75008, France	Paris	France	8.4
100	Batty Langley s	'Dennis Severs'' House, Folgate Street, Spitalfields, London Borough of Tower Hamlets, London, Greater London, England, E1 6BX, United Kingdom'	London	United Kingdom	9.4
101	Best Western Mornington Hotel Hyde Park	Best Western Mornington, 12, Lancaster Gate, Paddington, City of Westminster, London, Greater London, England, W2 3LG, United Kingdom	London	United Kingdom	8
102	Arbor City	Arbor City Hotel, 12-20, Osborn Street, Spitalfields, London Borough of Tower Hamlets, London, Greater London, England, E1 6TE, United Kingdom	London	United Kingdom	8.9
103	Hotel La Lanterne	présence africaine, Rue de la Montagne Sainte-Geneviève, Quartier de la Sorbonne, 5th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75005, France	Paris	France	9
104	H tel Square Louvois	Hôtel Square Louvois, 12, Rue de Louvois, Quartier Vivienne, 2nd Arrondissement, Paris, Ile-de-France, Metropolitan France, 75002, France	Paris	France	9.3
105	Hotel Marignan Champs Elys es	Spoon, Rue de Marignan, Quartier des Champs-Élysées, 8th Arrondissement of Paris, Paris, Ile-de-France, Metropolitan France, 75008, France	Paris	France	8.7
106	Le Grey Hotel	Le Grey Hôtel, Rue de Parme, Quartier Saint-Georges, 9th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75009, France	Paris	France	9
107	Le Pavillon des Lettres	12, Rue des Saussaies, Quartier de la Madeleine, 8th Arrondissement of Paris, Paris, Ile-de-France, Metropolitan France, 75008, France	Paris	France	9
108	H tel San R gis	12, Rue Jean Goujon, Quartier des Champs-Élysées, 8th Arrondissement of Paris, Paris, Ile-de-France, Metropolitan France, 75008, France	Paris	France	8.7
109	Garden Elys e	12, Rue Saint-Didier, Quartier de Chaillot, 16th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75116, France	Paris	France	8.5
110	Hotel Louvre Montana	Louvre Montana, Rue Saint-Roch, Quartier du Palais Royal, 1st Arrondissement, Paris, Ile-de-France, Metropolitan France, 75001, France	Paris	France	8.4
111	Ambassadors Bloomsbury	Ambassadors Bloomsbury, 12, Upper Woburn Place, Holborn, Bloomsbury, London Borough of Camden, London, Greater London, England, WC1H 0HX, United Kingdom	London	United Kingdom	7.9
112	Le 123 S bastopol Astotel	123, Boulevard de Sébastopol, Quartier de Bonne-Nouvelle, 2nd Arrondissement, Paris, Ile-de-France, Metropolitan France, 75002, France	Paris	France	9.3
113	Le 123 Elysees Astotel	Le 123 Elysées, Rue du Faubourg Saint-Honoré, Quartier du Faubourg-du-Roule, 8th Arrondissement of Paris, Paris, Ile-de-France, Metropolitan France, 75008, France	Paris	France	9.2
114	The Bryson Hotel	Yo! Sushi, 95, Clerkenwell Road, Angel, Clerkenwell, London Borough of Islington, London, Greater London, England, EC1N 8QR, United Kingdom	London	United Kingdom	7.8
115	Best Western Mercedes Arc de Triomphe	Hôtel Mercedes, Rue Brémontier, Quartier de la Plaine-de-Monceau, 17th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75017, France	Paris	France	7.8
116	London Marriott Hotel Regents Park	'Marriott Hotel Regent''s Park, Adelaide Road, Swiss Cottage, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 3SG, United Kingdom'	London	United Kingdom	8.3
117	Hilton London Hyde Park	Aubaine, 129, Bayswater Road, Bayswater, City of Westminster, London, Greater London, England, W2 4RH, United Kingdom	London	United Kingdom	7.8
118	Staunton Hotel B B	Gower Street, Holborn, Bloomsbury, London Borough of Camden, London, Greater London, England, WC1E 6HW, United Kingdom	London	United Kingdom	8.3
119	1K Hotel	1K, Boulevard du Temple, Quartier des Enfants-Rouges, 3rd Arrondissement, Paris, Ile-de-France, Metropolitan France, 75003, France	Paris	France	7.7
120	H tel Westminster	Hôtel Westminster, Rue de la Paix, Quartier Gaillon, 1st Arrondissement, Paris, Ile-de-France, Metropolitan France, 75002, France	Paris	France	8.4
121	L H tel	'L''Hôtel, Rue des Beaux-Arts, Quartier de Saint-Germain-des-Prés, 6th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75006, France'	Paris	France	8.8
122	Mercure Paris Porte d Orleans	'Hôtel Mercure Porte d''Orléans, Rue François Ory, Quartier Montrouge Est, 14th Arrondissement, Montrouge, Paris, Ile-de-France, Metropolitan France, 75014, France'	Paris	France	7.5
123	Maxim Op ra	Maxim Opéra, Rue Geoffroy Marie, Quartier du Faubourg-Montmartre, 9th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75009, France	Paris	France	8.4
124	Le Marceau Bastille	13, Rue Jules César, Quartier des Quinze-Vingts, 12th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75012, France	Paris	France	8.6
125	Hotel Odeon Saint Germain	'13, Rue Saint-Sulpice, Quartier de l''Odéon, 6th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75006, France'	Paris	France	8.6
126	Mercure London Bloomsbury Hotel	'Dean''s Bar, Cosmo Place, Holborn, Bloomsbury, London Borough of Camden, London, Greater London, England, WC1N 3AH, United Kingdom'	London	United Kingdom	8.3
127	The Chamberlain	The Chamberlain, 130-135, Minories, City of London, Greater London, England, EC3N 1NU, United Kingdom	London	United Kingdom	8.9
128	Radisson Blu Edwardian Grafton	Radisson Edwardian Grafton Hotel, 130, Tottenham Court Road, Holborn, Somers Town, London Borough of Camden, London, Greater London, England, W1T 5AY, United Kingdom	London	United Kingdom	8.3
129	La Villa Haussmann	'Quartier de l''Europe, 8th Arrondissement of Paris, Paris, Ile-de-France, Metropolitan France, 75008, France'	Paris	France	9.2
130	London Marriott Hotel Marble Arch	London Marriott Hotel Marble Arch, 134, George Street, Marylebone, City of Westminster, London, Greater London, England, W1H 5LA, United Kingdom	London	United Kingdom	8.2
131	Saint Georges Hotel	'Henry Wood House, 3-6, Langham Place, St. James''s, Fitzrovia, City of Westminster, London, Greater London, England, W1B 3DE, United Kingdom'	London	United Kingdom	7.5
132	Park Grand London Lancaster Gate	The Hyde Park Premier, 14-16, Craven Hill, Paddington, City of Westminster, London, Greater London, England, W2 3DU, United Kingdom	London	United Kingdom	8.8
133	The Henrietta Hotel	Frenchie Covent Garden, 16, Henrietta Street, St Clement Danes, Covent Garden, City of Westminster, London, Greater London, England, WC2E 8QH, United Kingdom	London	United Kingdom	9.2
134	Sofitel Paris Arc De Triomphe	Sofitel Arc de Triomphe, Avenue Bertie Albrecht, Quartier du Faubourg-du-Roule, 8th Arrondissement of Paris, Paris, Ile-de-France, Metropolitan France, 75008, France	Paris	France	8.8
135	Hotel Mercure La Sorbonne Saint Germain des Pr s	Mercure, Rue de la Sorbonne, Quartier de la Sorbonne, 5th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75005, France	Paris	France	8.3
136	La Tremoille Paris	14, Rue de la Trémoille, Quartier des Champs-Élysées, 8th Arrondissement of Paris, Paris, Ile-de-France, Metropolitan France, 75008, France	Paris	France	8.5
137	Hotel Op ra Richepanse	Quartier Vendôme, 1st Arrondissement, Paris, Ile-de-France, Metropolitan France, 75001, France	Paris	France	9.2
138	H tel Duc De St Simon	'14, Rue de Saint-Simon, Quartier Saint-Thomas-d''Aquin, 7th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75007, France'	Paris	France	9
139	Hotel Le Six	14, Rue Stanislas, Quartier Notre-Dame-des-Champs, 6th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75006, France	Paris	France	9.1
140	The Bailey s Hotel London	'Millennium Bailey''s Hotel, Gloucester Road, South Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW7 4ST, United Kingdom'	London	United Kingdom	8.7
141	London Marriott Hotel Park Lane	527, Oxford Street, Mayfair, City of Westminster, London, Greater London, England, W1C 2QL, United Kingdom	London	United Kingdom	8.8
142	Best Western Premier Louvre Saint Honor 	Hôtel Louvre Saint-Honoré, 141, Rue Saint-Honoré, Quartier des Halles, Quartier Les Halles, 1st Arrondissement, Paris, Ile-de-France, Metropolitan France, 75001, France	Paris	France	8.1
143	Hotel Indigo London Tower Hill	Hotel Indigo, India Street, City of London, Greater London, England, EC3, United Kingdom	London	United Kingdom	9.2
144	Windermere Hotel	'The Windermere Hotel & Brasserie, 142-144, Warwick Way, St. James''s, Pimlico, City of Westminster, London, Greater London, England, SW1V 4JE, United Kingdom'	London	United Kingdom	8.7
145	La Villa Maillot	143, Avenue de Malakoff, Quartier de Chaillot, 16th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75116, France	Paris	France	8.9
146	H tel Madison by MH	143, Boulevard Saint-Germain, Quartier de Saint-Germain-des-Prés, 6th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75006, France	Paris	France	8.8
147	Mercure London Paddington Hotel	Mercure London Paddington, 144, Praed Street, Paddington, City of Westminster, London, Greater London, England, W2 1HU, United Kingdom	London	United Kingdom	7.6
148	Hilton London Paddington	Hilton London Paddington, 146, Praed Street, Paddington, City of Westminster, London, Greater London, England, W2 1HU, United Kingdom	London	United Kingdom	8.2
149	London Marriott Hotel Kensington	Marriott Hotel Kensington, 147, Cromwell Road, South Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW5 0TH, United Kingdom	London	United Kingdom	8
150	Kensington House Hotel	Kensington House Hotel, Prince of Wales Terrace, South Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W8 5PQ, United Kingdom	London	United Kingdom	8.2
151	Charlotte Street Hotel	Charlotte Street Hotel, 15-17, Charlotte Street, Holborn, London Borough of Camden, London, Greater London, England, W1T 1RJ, United Kingdom	London	United Kingdom	9.5
