"movie_id","movie_title_en","movie_title_fr","movie_year"
"20991","Hackers","Hackers","1995"
"20992","Jeffrey","Jeffrey","1995"
"20993","Johnny Mnemonic","Johnny Mnemonic","1995"
"20994","London Boulevard","London Boulevard","2010"
"20995","Judge Dredd","Judge Dredd","1995"
"20996","Jury Duty","Jury Duty","1995"
"20997","Skyline","Skyline","2010"
"20998","Kids","Kids","1995"
"20999","Life Is Sweet","Life Is Sweet","1990"
"21000","Living in Oblivion","Ça tourne à Manhattan","1995"
"21001","Lord of Illusions","Le Maître des illusions","1995"
"21002","Love & Human Remains","De l'amour et des restes humains","1993"
"21003","Mad Love","Les Mains d'Orlac","1995"
"21004","Mallrats","Les Glandeurs","1995"
"21005","Mighty Morphin Power Rangers: The Movie","Power Rangers, le film","1995"
"21006","Mute Witness","Témoin muet","1994"
"21007","Nadja","Nadja","1994"
"21008","The Net","Traque sur Internet","1995"
"21009","Nine Months","Neuf mois aussi","1995"
"21010","Paperman","Paperman","2012"
"21011","Party Girl","Party Girl","1995"
"21012","The Prophecy","The Prophecy","1995"
"21013","Reckless","Imprudente Jeunesse","1995"
"21014","Safe","Safe","1995"
"21015","The Scarlet Letter","Les Amants du nouveau monde","1995"
"21016","Showgirls","Showgirls","1995"
"21017","Smoke","Smoke","1995"
"21018","Something to Talk About","Amour et Mensonges","1995"
"21019","Species","La Mutante","1995"
"21020","Strange Days","Strange Days","1995"
"21021","The Umbrellas of Cherbourg","Les Parapluies de Cherbourg","1964"
"21022","The Tie That Binds","Les Liens du sang","1995"
"21023","Three Wishes","Three Wishes","1995"
"21024","Total Eclipse","Rimbaud Verlaine","1995"
"21025","To Wong Foo, Thanks for Everything! Julie Newmar","Extravagances","1995"
"21026","Under Siege 2: Dark Territory","Piège à grande vitesse","1995"
"21027","Unstrung Heroes","Les Liens du souvenir","1995"
"21028","Unzipped","Unzipped","1995"
"21029","A Walk in the Clouds","Les Vendanges de feu","1995"
"21030","Waterworld","Waterworld","1995"
"21031","White Man's Burden","White Man","1995"
"21032","The Browning Version","L'Ombre d'un homme","1994"
"21033","Burnt by the Sun","Soleil trompeur","1994"
"21034","Before the Rain","Before the Rain","1994"
"21035","Before Sunrise","Before Sunrise","1995"
"21036","Billy Madison","Billy Madison","1995"
"21037","The Babysitter","The Babysitter","1995"
"21038","Boys on the Side","Avec ou sans hommes","1995"
"21039","The Cure","The Cure","1995"
"21040","Castle Freak","Castle Freak","1995"
"21041","Circle of Friends","Circle of Friends","1995"
"21042","Clerks","Clerks : Les Employés modèles","1994"
"21043","Don Juan DeMarco","Don Juan DeMarco","1995"
"21044","Disclosure","Harcèlement","1994"
"21045","Drop Zone","Drop Zone","1994"
"21046","Destiny Turns on the Radio","Destiny Turns on the Radio","1995"
"21047","Death and the Maiden","La Jeune Fille et la Mort","1994"
"21048","Dolores Claiborne","Dolores Claiborne","1995"
"21049","Dumb & Dumber","Dumb and Dumber","1994"
"21050","Bunny and the Bull","Bunny and the Bull","2009"
"21051","Eat Drink Man Woman","Salé, Sucré","1994"
"21052","Exotica","Exotica","1994"
"21053","Beastly","Sortilège","2011"
"21054","Exit to Eden","Exit to Eden","1994"
"21055","Ed Wood","Ed Wood","1994"
"21056","French Kiss","French Kiss","1995"
"21057","The Hitchhiker's Guide to the Galaxy","H2G2 : Le Guide du voyageur galactique","2005"
"21058","The Captive","The Captive","2014"
"21059","Forget Paris","Forget Paris","1995"
"21060","Far From Home: The Adventures of Yellow Dog","Far From Home: The Adventures of Yellow Dog","1995"
"21061","A Goofy Movie","Dingo et Max","1995"
"21062","Hideaway","Souvenirs de l'au-delà","1995"
"21063","Fluke","Fluke","1995"
"21064","Farinelli: il castrato","Farinelli","1994"
"21065","Simon of the Desert","Simon du désert","1965"
"21066","Gordy","Gordy","1995"
"21067","Gumby: The Movie","Gumby: The Movie","1995"
"21068","Tenacious D in The Pick of Destiny","Tenacious D et le Médiator du destin","2006"
"21069","The Glass Shield","The Glass Shield","1994"
"21070","Hoop Dreams","Hoop Dreams","1994"
"21071","Love and Other Drugs","Love, et autres drogues","2010"
"21072","Predestination","Predestination","2014"
"21073","Heavenly Creatures","Créatures célestes","1994"
"21074","Houseguest","L'Invité","1994"
"21075","The Chronicles of Narnia: The Voyage of the Dawn Treader","Le Monde de Narnia : L'Odyssée du Passeur d'Aurore","2010"
"21076","Immortal Beloved","Ludwig van B.","1994"
"21077","Heavyweights","La Colo des gourmands","1995"
"21078","The Hunted","Traqué","1995"
"21079","I.Q.","L'Amour en équation","1994"
"21080","Tiny Furniture","Tiny Furniture","2010"
"21081","Interview with the Vampire: The Vampire Chronicles","Entretien avec un vampire","1994"
"21082","Dark Habits","Dans les ténèbres","1983"
"21083","Jefferson in Paris","Jefferson à Paris","1995"
"21084","The Jerky Boys","The Jerky Boys","1995"
"21085","Junior","Junior","1994"
"21086","Just Cause","Juste Cause","1995"
"21087","A Kid in King Arthur's Court","Un visiteur chez le roi Arthur","1995"
"21088","Kiss of Death","Kiss of Death","1995"
"21089","Star Wars: Episode IV - A New Hope","Star Wars, épisode IV : Un nouvel espoir","1977"
"21090","Little Women","Les Quatre Filles du docteur March","1994"
"21091","A Little Princess","La Petite Princesse","1995"
"21092","Ladybird Ladybird","Ladybird","1994"
"21093","L'Enfer","L'Enfer","1994"
"21094","Like Water for Chocolate","Les Épices de la passion","1992"
"21095","Legends of the Fall","Légendes d'automne","1994"
"21096","Major Payne","Major Payne","1995"
"21097","Paul Blart: Mall Cop","Paul Blart : Super Vigile","2009"
"21098","Little Odessa","Little Odessa","1994"
"21099","My Crazy Life","My Krazy Life","1993"
"21100","Love Affair","Elle et lui","1994"
"21101","Losing Isaiah","Losing Isaiah","1995"
"21102","The Madness of King George","La Folie du roi George","1994"
"21103","Mary Shelley's Frankenstein","Frankenstein","1994"
"21104","Man of the House","Garde rapprochée","1995"
"21105","Mixed Nuts","Mixed Nuts","1994"
"21106","Milk Money","La Surprise","1994"
"21107","Miracle on 34th Street","Le Miracle sur la 34e rue","1994"
"21108","Miami Rhapsody","Miami Rhapsody","1995"
"21109","My Family","Rêves de famille","1995"
"21110","Murder in the First","Meurtre à Alcatraz","1995"
"21111","Hitchcock","Hitchcock","2012"
"21112","Nobody's Fool","Un homme presque parfait","1994"
"21113","Nell","Nell","1994"
"21114","Caesar Must Die","César doit mourir","2012"
"21115","New Jersey Drive","New Jersey Drive","1995"
"21116","The Tourist","The Tourist","2010"
"21117","Beyond Bedlam","Beyond Bedlam","1993"
"21118","Nina Takes a Lover","Nina Takes a Lover","1994"
"21119","Natural Born Killers","Tueurs nés","1994"
"21120","Only You","Only You","1994"
"21121","Once Were Warriors","L'Âme des guerriers","1994"
"21122","Poison Ivy II","Fleur de poison 2 : Lily","1996"
"21123","Outbreak","Alerte !","1995"
"21124","Léon: The Professional","Léon","1994"
"21125","The Perez Family","The Perez Family","1995"
"21126","A Pyromaniac's Love Story","A Pyromaniac's Love Story","1995"
"21127","Pulp Fiction","Pulp Fiction","1994"
"21128","Priest","Prêtre","1994"
"21129","Quiz Show","Quiz Show","1994"
"21130","Picture Bride","Picture Bride","1994"
"21131","From Up on Poppy Hill","La Colline aux coquelicots","2011"
"21132","Queen Margot","Queen Margot","1994"
"21133","Redline","Redline","2009"
"21134","The Quick and the Dead","Mort ou vif","1995"
"21135","Roommates","Un ménage explosif","1995"
"21136","Ready to Wear","Prêt-à-porter","1994"
"21137","Three Colors: Red","Trois couleurs : Rouge","1994"
"21138","Just Around the Corner","La Vie en rose","1938"
"21139","Three Colors: Blue","Trois couleurs : Bleu","1993"
"21140","Three Colors: White","Trois couleurs : Blanc","1994"
"21141","Red Firecracker, Green Firecracker","Red Firecracker, Green Firecracker","1994"
"21142","Burn Up!","Burn Up!","1991"
"21143","Stuart Saves His Family","Stuart sauve sa famille","1995"
"21144","The Swan Princess","Le Cygne et la Princesse","1994"
"21145","The Secret of Roan Inish","Le Secret de Roan Inish","1994"
"21146","The Specialist","L'Expert","1994"
"21147","Stargate","Stargate, la porte des étoiles","1994"
"21148","The Santa Clause","Super Noël","1994"
"21149","The Amityville Horror","Amityville","2005"
"21150","The Shawshank Redemption","Les Évadés","1994"
"21151","Shallow Grave","Petits meurtres entre amis","1994"
"21152","Suture","Suture","1993"
"21153","Strawberry and Chocolate","Fraise et Chocolat","1993"
"21154","Swimming with Sharks","Swimming with Sharks","1995"
"21155","Rare Exports: A Christmas Tale","Père Noël Origines","2010"
"21156","The Sum of Us","The Sum of Us","1994"
"21157","National Lampoon's Senior Trip","Alarme totale","1995"
"21158","To Live","Vivre !","1994"
"21159","Tank Girl","Tank Girl","1995"
"21160","Tales from the Crypt Presents: Demon Knight","Le Cavalier du Diable","1995"
"21161","Star Trek: Generations","Star Trek : Générations","1994"
"21162","Tales from the Hood","Tales from the Hood","1995"
"21163","Tom & Viv","Tom et Viv","1994"
"21164","Village of the Damned","Le Village des damnés","1995"
"21165","Tommy Boy","Tommy Boy","1995"
"21166","Vanya on 42nd Street","Vanya, 42e rue","1994"
"21167","Underneath","Underneath","1995"
"21168","The Walking Dead","Le Mort qui marche","1995"
"21169","What's Eating Gilbert Grape","Gilbert Grape","1993"
"21170","Virtuosity","Programmé pour tuer","1995"
"21171","While You Were Sleeping","L'Amour à tout prix","1995"
"21172","The War","À chacun sa guerre","1994"
"21173","Double Happiness","Double Happiness","1994"
"21174","Muriel's Wedding","Muriel","1994"
"21175","The Baby-Sitters Club","The Baby-Sitters Club","1995"
"21176","Ace Ventura: Pet Detective","Ace Ventura, détective pour chiens et chats","1994"
"21177","The Adventures of Priscilla, Queen of the Desert","Priscilla, folle du désert","1994"
"21178","Backbeat","Backbeat : Cinq Garçons dans le vent","1993"
"21179","Bitter Moon","Lunes de fiel","1992"
"21180","Bullets Over Broadway","Coups de feu sur Broadway","1994"
"21181","Clear and Present Danger","Danger immédiat","1994"
"21182","The Client","Le Client","1994"
"21183","Corrina, Corrina","Corrina, Corrina","1994"
"21184","Crooklyn","Crooklyn","1994"
"21185","The Crow","The Crow","1994"
"21186","Cobb","Cobb","1994"
"21187","The Flintstones","La Famille Pierrafeu","1994"
"21188","Forrest Gump","Forrest Gump","1994"
"21189","Before the Fall","Before the Fall","2004"
"21190","Four Weddings and a Funeral","Quatre mariages et un enterrement","1994"
"21191","Higher Learning","Fièvre à Columbus University","1995"
"21192","I Love Trouble","Les Complices","1994"
"21193","It Could Happen to You","Milliardaire malgré lui","1994"
"21194","The Jungle Book","Le Livre de la jungle","1994"
"21195","The Wonderful, Horrible Life of Leni Riefenstahl","Leni Riefenstahl, le pouvoir des images","1993"
"21196","The Lion King","Le Roi lion","1994"
"21197","Little Buddha","Little Buddha","1993"
"21198","Wes Craven's New Nightmare","Freddy sort de la nuit","1994"
"21199","The Mask","The Mask","1994"
"21200","Maverick","Maverick","1994"
"21201","Mrs. Parker and the Vicious Circle","Mrs. Parker et le Cercle vicieux","1994"
"21202","Naked Gun 33 1/3: The Final Insult","Y a-t-il un flic pour sauver Hollywood ?","1994"
"21203","Palindromes","Palindromes","2004"
"21204","The Paper","Le Journal","1994"
"21205","Reality Bites","Génération 90","1994"
"21206","Red Rock West","Red Rock West","1992"
"21207","Richie Rich","Richie Rich","1994"
"21208","National Lampoon's Van Wilder: The Rise of Taj","National Lampoon's Van Wilder: The Rise of Taj","2006"
"21209","Safe Passage","Safe Passage","1994"
"21210","The River Wild","La Rivière sauvage","1994"
"21211","Turistas","Paradise Lost","2006"
"21212","Speed","Speed","1994"
"21213","A Lot Like Love","7 ans de séduction","2005"
"21214","The Atticus Institute","Le Projet Atticus","2015"
"21215","Speechless","Chérie vote pour moi","1994"
"21216","Blood Diamond","Blood Diamond","2006"
"21217","Timecop","Timecop","1994"
"21218","True Lies","True Lies","1994"
"21219","When a Man Loves a Woman","Pour l'amour d'une femme","1994"
"21220","Wolf","Wolf","1994"
"21221","Wyatt Earp","Wyatt Earp","1994"
"21222","Bad Company","Bad Company","1995"
"21223","Enron: The Smartest Guys in the Room","Enron: The Smartest Guys in the Room","2005"
"21224","A Low Down Dirty Shame","A Low Down Dirty Shame","1994"
"21225","Boys Life","Boys Life","1995"
"21226","Le Colonel Chabert","Le Colonel Chabert","1994"
"21227","Faster Pussycat! Kill! Kill!","Faster, Pussycat! Kill! Kill!","1965"
"21228","xXx: State of the Union","XXX 2: The Next Level","2005"
"21229","Jason's Lyric","Jason's Lyric","1994"
"21230","Manson Family Vacation","Manson Family Vacation","2015"
"21231","The Secret Adventures of Tom Thumb","The Secret Adventures of Tom Thumb","1993"
"21232","Nightfall","Poursuites dans la nuit","1957"
"21233","Street Fighter","Street Fighter","1994"
"21234","Kingdom of Heaven","Kingdom of Heaven","2005"
"21235","House of Wax","L'Homme au masque de cire","2005"
"21236","Crash","Collision","2004"
"21237","Mirage","Mirage","1995"
"21238","Mysterious Skin","Mysterious Skin","2004"
"21239","Highlander III: The Sorcerer","Highlander 3","1994"
"21240","In the Mouth of Madness","L'Antre de la folie","1995"
"21241","8 Seconds","8 secondes","1994"
"21242","Above the Rim","Above the Rim","1994"
"21243","Addams Family Values","Les Valeurs de la famille Addams","1993"
"21244","The Age of Innocence","Le Temps de l'innocence","1993"
"21245","Airheads","Airheads","1994"
"21246","The Air Up There","Un joueur à la hauteur","1994"
"21247","Another Stakeout","Indiscrétion assurée","1993"
"21248","Bad Girls","Belles de l'Ouest","1994"
"21249","Barcelona","Barcelona","1994"
"21250","Being Human","Les Mille et une vies d'Hector","1993"
"21251","The Beverly Hillbillies","Les Allumés de Beverly Hills","1993"
"21252","Beverly Hills Cop III","Le Flic de Beverly Hills 3","1994"
"21253","Black Beauty","Prince noir","1994"
"21254","Blink","Blink","1994"
"21255","Blown Away","Blown Away","1994"
"21256","Blue Chips","Blue Chips","1994"
"21257","Blue Sky","Blue Sky","1994"
"21258","Body Snatchers","Body Snatchers","1993"
"21259","Boxing Helena","Boxing Helena","1993"
"21260","A Bronx Tale","Il était une fois le Bronx","1993"
"21261","Cabin Boy","Cabin Boy","1994"
"21262","Carlito's Way","Carlito's Way","1993"
"21263","City Slickers II: The Legend of Curly's Gold","City Slickers II: The Legend of Curly's Gold","1994"
"21264","Clean Slate","Trou de mémoire","1994"
"21265","Cliffhanger","Cliffhanger : Traque au sommet","1993"
"21266","Coneheads","Coneheads","1993"
"21267","What We Do in the Shadows","Vampires en toute intimité","2014"
"21268","Color of Night","Color of Night","1994"
"21269","Cops and Robbersons","Cops and Robbersons","1994"
"21270","The Cowboy Way","Deux cow-boys à New York","1994"
"21271","Dangerous Game","Snake Eyes","1993"
"21272","Dave","Président d'un jour","1993"
"21273","Dazed and Confused","Génération rebelle","1993"
"21274","Demolition Man","Demolition Man","1993"
"21275","The Endless Summer 2","The Endless Summer 2","1994"
"21276","Even Cowgirls Get the Blues","Even Cowgirls Get the Blues","1993"
"21277","Fatal Instinct","Fatal Instinct","1993"
"21278","Farewell My Concubine","Adieu ma concubine","1993"
"21279","The Favor","The Favor","1994"
"21280","Outlander","Outlander : Le Dernier Viking","2008"
"21281","Fearless","État second","1993"
"21282","Fear of a Black Hat","Fear of a Black Hat","1994"
"21283","With Honors","Avec les félicitations du jury","1994"
"21284","Challenge to Lassie","Le Défi de Lassie","1949"
"21285","Flesh and Bone","Flesh and Bone","1993"
"21286","Widows' Peak","Parfum de scandale","1994"
"21287","For Love or Money","Le Concierge du Bradbury","1993"
"21288","The Firm","The Firm","1993"
"21289","Free Willy","Sauvez Willy","1993"
"21290","Fresh","Fresh","1994"
"21291","The Fugitive","Le Fugitif","1993"
"21292","Geronimo: An American Legend","Geronimo","1993"
"21293","The Best of Me","Une seconde chance","2014"
"21294","The Getaway","Guet-apens","1994"
"21295","All Good Things","Love and Secrets","2010"
"21296","Getting Even with Dad","Rends la monnaie, papa","1994"
"21297","John Wick","John Wick","2014"
"21298","Go Fish","Go Fish","1994"
"21299","Plastic","Plastic","2014"
"21300","Guilty as Sin","L'Avocat du diable","1993"
"21301","Hard Target","Chasse à l'homme","1993"
"21302","Heaven & Earth","Entre Ciel et Terre","1993"
"21303","Hot Shots! Part Deux","Hot Shots! 2","1993"
"21304","Live Nude Girls","Live Nude Girls","1995"
"21305","The Englishman Who Went Up a Hill But Came Down a Mountain","L'Anglais qui gravit une colline mais descendit une montagne","1995"
"21306","The House of the Spirits","La Maison aux esprits","1993"
"21307","House Party 3","House Party 3","1994"
"21308","The Hudsucker Proxy","Le Grand Saut","1994"
"21309","I'll Do Anything","La Petite Star","1994"
"21310","In the Army Now","En avant, les recrues !","1994"
"21311","In the Line of Fire","Dans la ligne de mire","1993"
"21312","In the Name of the Father","Au nom du père","1993"
"21313","The Inkwell","The Inkwell","1994"
"21314","What's Love Got to Do with It?","What's Love Got to Do with It?","1993"
"21315","Judgment Night","La Nuit du Jugement","1993"
"21316","Jurassic Park","Jurassic Park","1993"
"21317","Kalifornia","Kalifornia","1993"
"21318","Killing Zoe","Killing Zoe","1994"
"21319","The Great Ecstasy of Woodcarver Steiner","Die große Ekstase des Bildschnitzers Steiner","1974"
"21320","King of the Hill","King of the Hill","1993"
"21321","The Judge","The Judge","2014"
"21322","Lassie","Lassie","1994"
"21323","Last Action Hero","Last Action Hero","1993"
"21324","Life with Mikey","Graine de star","1993"
"21325","Lightning Jack","Jack l'Éclair","1994"
"21326","Love Is Strange","Love Is Strange","2014"
"21327","M. Butterfly","M. Butterfly","1993"
"21328","Made in America","Made in America","1993"
"21329","Malice","Malice","1993"
"21330","Jazz","Jazz","2001"
"21331","The Man Without a Face","L'Homme sans visage","1993"
"21332","Manhattan Murder Mystery","Meurtre mystérieux à Manhattan","1993"
"21333","Menace II Society","Menace to Society","1993"
"21334","Executive Decision","Ultime Décision","1996"
"21335","In the Realm of the Senses","L'Empire des sens","1976"
"21336","Charlotte's Web","Le Petit Monde de Charlotte","2006"
"21337","What Happened Was...","What Happened Was...","1994"
